city,province
Toronto,Ontario
Montréal,Québec
Vancouver,British Columbia
Ottawa,Ontario
Calgary,Alberta
Edmonton,Alberta
Hamilton,Ontario
Winnipeg,Manitoba
Québec,Québec
Oshawa,Ontario
Kitchener,Ontario
Halifax,Nova Scotia
London,Ontario
Windsor,Ontario
Victoria,British Columbia
Saskatoon,Saskatchewan
Barrie,Ontario
Regina,Saskatchewan
Sudbury,Ontario
Abbotsford,British Columbia
Sarnia,Ontario
Sherbrooke,Québec
Saint John’s,Newfoundland and Labrador
Kelowna,British Columbia
Trois-Rivières,Québec
Kingston,Ontario
Moncton,New Brunswick
Peterborough,Ontario
Drummondville,Québec
Fredericton,New Brunswick
Chilliwack,British Columbia
Shawinigan,Québec
Cornwall,Ontario
Belleville,Ontario
Charlottetown,Prince Edward Island
Victoriaville,Québec
Grande Prairie,Alberta
Penticton,British Columbia
Campbell River,British Columbia
Courtenay,British Columbia
Orangeville,Ontario
Moose Jaw,Saskatchewan
Brandon,Manitoba
Brockville,Ontario
Rouyn-Noranda,Québec
Whitehorse,Yukon
Fort McMurray,Alberta
Yellowknife,Northwest Territories
Fort Saint John,British Columbia
Rivière-du-Loup,Québec
Wetaskiwin,Alberta
Weyburn,Saskatchewan
Iqaluit,Nunavut
Meadow Lake,Saskatchewan
Thunder Bay,Ontario
Saint John,New Brunswick
Nanaimo,British Columbia
Saint-Jérôme,Québec
Red Deer,Alberta
Lethbridge,Alberta
Kamloops,British Columbia
Prince George,British Columbia
Medicine Hat,Alberta
Chicoutimi,Québec
North Bay,Ontario
Joliette,Québec
Sydney,Nova Scotia
Orillia,Ontario
Rimouski,Québec
Timmins,Ontario
Prince Albert,Saskatchewan
Saint-Georges,Québec
Sept-Îles,Québec
Owen Sound,Ontario
Corner Brook,Newfoundland and Labrador
Val-d’Or,Québec
New Glasgow,Nova Scotia
Terrace,British Columbia
North Battleford,Saskatchewan
Cranbrook,British Columbia
Edmundston,New Brunswick
Camrose,Alberta
Pembroke,Ontario
Yorkton,Saskatchewan
Swift Current,Saskatchewan
Prince Rupert,British Columbia
Williams Lake,British Columbia
Brooks,Alberta
Quesnel,British Columbia
Thompson,Manitoba
Dolbeau,Québec
Powell River,British Columbia
Nelson,British Columbia
Mont-Laurier,Québec
Kenora,Ontario
Dawson Creek,British Columbia
Amos,Québec
Baie-Comeau,Québec
Hinton,Alberta
Selkirk,Manitoba
Steinbach,Manitoba
Amherst,Nova Scotia
Kapuskasing,Ontario
Dauphin,Manitoba
Dryden,Ontario
Revelstoke,British Columbia
Happy Valley,Newfoundland and Labrador
Banff,Alberta
Yarmouth,Nova Scotia
La Sarre,Québec
Stephenville,Newfoundland and Labrador
Flin Flon,Manitoba
The Pas,Manitoba
Vegreville,Alberta
Peace River,Alberta
Creston,British Columbia
Sioux Lookout,Ontario
Cochrane,Ontario
Liverpool,Nova Scotia
Melville,Saskatchewan
Deer Lake,Newfoundland and Labrador
Jasper,Alberta
Gaspé,Québec
Fort Chipewyan,Alberta
Lac La Biche,Alberta
Baie-du-Poste,Québec
Gimli,Manitoba
Athabasca,Alberta
Nelson House,Manitoba
Rankin Inlet,Nunavut
Port Hardy,British Columbia
Wawa,Ontario
Arviat,Nunavut
Baker Lake,Nunavut
Cape Dorset,Nunavut
Lake Louise,Alberta
Repulse Bay,Nunavut
Arctic Bay,Nunavut
Fort Good Hope,Northwest Territories
Schefferville,Québec
Kimmirut,Nunavut
Saint Anthony,Newfoundland and Labrador
Oxford House,Manitoba
Parry Sound,Ontario
Antigonish,Nova Scotia
Fort Nelson,British Columbia
Smithers,British Columbia
Bathurst,New Brunswick
Norway House,Manitoba
Stettler,Alberta
New Liskeard,Ontario
Hearst,Ontario
Marathon,Ontario
Kindersley,Saskatchewan
Channel-Port aux Basques,Newfoundland and Labrador
Saint-Augustin,Québec
Digby,Nova Scotia
Hay River,Northwest Territories
Windsor,Nova Scotia
La Ronge,Saskatchewan
Deer Lake,Ontario
Atikokan,Ontario
Gander,Newfoundland and Labrador
Shelburne,Nova Scotia
Inuvik,Northwest Territories
Lillooet,British Columbia
Chapleau,Ontario
Burns Lake,British Columbia
Biggar,Saskatchewan
Wiarton,Ontario
Hudson Bay,Saskatchewan
Matagami,Québec
Attawapiskat,Ontario
Red Lake,Ontario
Moosonee,Ontario
Tofino,British Columbia
Igloolik,Nunavut
Inukjuak,Québec
Little Current,Ontario
Pond Inlet,Nunavut
Cap-Chat,Québec
Cambridge Bay,Nunavut
Thessalon,Ontario
Bella Bella,British Columbia
Cobalt,Ontario
Pangnirtung,Nunavut
Dawson,Yukon
Kugluktuk,Nunavut
Geraldton,Ontario
Gillam,Manitoba
Kuujjuaq,Québec
Nipigon,Ontario
Nain,Newfoundland and Labrador
Gjoa Haven,Nunavut
Fort McPherson,Northwest Territories
Argentia,Newfoundland and Labrador
Norman Wells,Northwest Territories
Churchill,Manitoba
Tuktoyaktuk,Northwest Territories
Berens River,Manitoba
Shamattawa,Manitoba
Baddeck,Nova Scotia
Coral Harbour,Nunavut
La Scie,Newfoundland and Labrador
Watson Lake,Yukon
Taloyoak,Nunavut
Natashquan,Québec
Buchans,Newfoundland and Labrador
Hall Beach,Nunavut
Mingan,Québec
Kangirsuk,Québec
Sandspit,British Columbia
Dél?ne,Northwest Territories
Fort Smith,Northwest Territories
Cartwright,Newfoundland and Labrador
Holman,Northwest Territories
Lynn Lake,Manitoba
Trout River,Newfoundland and Labrador
Fort Resolution,Northwest Territories
Forteau Bay,Newfoundland and Labrador
Hopedale,Newfoundland and Labrador
Pukatawagan,Manitoba
Trepassey,Newfoundland and Labrador
Chesterfield Inlet,Nunavut
Eastmain,Québec
Dease Lake,British Columbia
Paulatuk,Northwest Territories
Fort Simpson,Northwest Territories
Brochet,Manitoba
Cat Lake,Ontario
Radisson,Québec
Port-Menier,Québec
Resolute,Nunavut
Upper Hay River,Alberta
Port Hope Simpson,Newfoundland and Labrador
Tsiigehtchic,Northwest Territories
Ivujivik,Québec
Stony Rapids,Saskatchewan
Alert,Nunavut
Fort Severn,Ontario
Rigolet,Newfoundland and Labrador
Lansdowne House,Ontario
Salluit,Québec
?utselk’e,Northwest Territories
Uranium City,Saskatchewan
Burwash Landing,Yukon
Grise Fiord,Nunavut
Island Lake,Manitoba
Big Beaverhouse,Ontario
Ennadai,Nunavut
